Comercio;Categoria compra
Adarra Burdindegia;Servicios y Comercio General
Adats ileapaindegia;Salud y Estética
Aitor Ruiz de Egino Artelanak;Arte y Cultura
Aliprox;Alimentación
Almodobar;Hostelería
Amaia Arrandegia;Alimentación
Amane Ekodenda;Alimentación 
Amegar etxetresnak;Servicios y Comercio General
Ancizar;Industria y Construcción
ANTI liburudenda;Arte y Cultura
Arantxa  Ibarburu  Oyarzabal;Moda y Complementos
Ares Frutadenda;Alimentación
Arkiled;Servicios y Comercio General
Arregi Janaridenda;Alimentación
Arriatzu barazki eta frutadenda;Alimentación
Arrosak edergintza;Salud y Estética
ArteTokia;Arte y Cultura
Artola Harategia;Alimentación
Asoc. Eme Komunikazioa;Asociaciones y Cooperativas
Asociaciacion Finanzas Éticas Euskadi;Asociaciones y Cooperativas
Asociacion Educativa Reciclanet Hezkuntza Elkartea;Asociaciones y Cooperativas
Asukar;Arte y Cultura
Balantxa Baserria;Servicios y Comercio General
Balerdi Harategia (Ahorra mas);Alimentación
Barakaldo Bidaiak;Servicios y Comercio General
Begira Optika;Salud y Estética
Berriak Elkartea;Asociaciones y Cooperativas
Biak Estilistak;Salud y Estética
Boga Euskal Garagardoa;Alimentación
Brintza Aholkularitza;Servicios y Comercio General
Brixton Denda;Arte y Cultura
Butroi Bizirik en transicion;Asociaciones y Cooperativas
Buztin Artean;Servicios y Comercio General
Cafe Okapi;Hostelería
Calzados Irigoyen;Moda y Complementos
Carniceria Ali Halal;Alimentación
Centro Odontologico Alaia;Salud y Estética
Clínica Dental Villarias;Salud y Estética
COLECTIVA XXK FEMINISMOS PENSAMIENTO Y ACCION;Asociaciones y Cooperativas
Conservas Margari;Alimentación
Dekolanak;Industria y Construcción
Distira Denda;Moda y Complementos
Dobera Euskara Elkartea (Kronika);Arte y Cultura
Egurre;Hostelería
Ekhi Elkartea;Asociaciones y Cooperativas
Ekhilur S.Coop.;Asociaciones y Cooperativas
Elkar Hernani Liburudenda;Arte y Cultura
Elkartenet Hezkuntza Elkartea;Asociaciones y Cooperativas
Enherkom;Asociaciones y Cooperativas
Enjabonadas;Servicios y Comercio General
Epele Loradenda;Servicios y Comercio General
Ereñozuko denda (Coviran);Alimentación
Erotic shop Sexdlux;Servicios y Comercio General
Erratz;Moda y Complementos
Erreka Multimedia;Asociaciones y Cooperativas
Errioguarda-Enea Jatetxea;Hostelería
Esnal Gozotegia;Alimentación
Eukene Jantzidenda;Moda y Complementos
Euskal Pizza;Alimentación
Ezkati Ileapaindegia;Salud y Estética
Ezkerro Fruituak;Alimentación
Farmacia Aldabe;Salud y Estética
Farmacia Castilla-Larburu;Salud y Estética
Farmacia Etxebarria;Salud y Estética
Farmacia Marina Gomez;Salud y Estética
Feli 1945;Servicios y Comercio General
Florida Farmazia;Salud y Estética
Fotos Torres;Arte y Cultura
Franchesca moda;Moda y Complementos
Frutas Iñigo Diez;Alimentación
Fundacion Economistas sin Fronteras;Asociaciones y Cooperativas
Gabriel Aresti Euskaltegia;Arte y Cultura
Gaindituz Fisioterapia;Salud y Estética
Galarreta Pilotalekua;Deporte y Ocio
Garin Harategia;Alimentación
Gaspar Ileapaindegia;Salud y Estética
Goikoetxea Okindegia;Alimentación
Goiz Eguzki Jatetxea;Hostelería
Gure Txoko;Asociaciones y Cooperativas
Gurutzeta Baserria (Arkupeak);Servicios y Comercio General
Hernani Harategia;Alimentación
Herrilur Kontsumo Elkartea;Asociaciones y Cooperativas
Hiru Haur Arropa Denda;Moda y Complementos
Ibai Mendi;Moda y Complementos
Ikusi Makusi jostailu-denda;Servicios y Comercio General
Idoia Noble Goikoetxea;Arte y Cultura
Iparragirre Sagardoak;Hostelería
Irigoyen Oinetakoak;Moda y Complementos
Itxaspe Arraindegia;Alimentación
Itzal Diseinua;Moda y Complementos
Izaskun Janaridenda;Alimentación
Joyeria Zabala;Moda y Complementos
K2 Taberna;Hostelería
JY Estetika;Salud y Estética
Kanpandorre erlojuak;Moda y Complementos
Karabeleko Elkartea;Asociaciones y Cooperativas
Kimu Carpinteria;Servicios y Comercio General
Kixki-kixki ileapaindegia;Salud y Estética
KUE Mertzeria;Moda y Complementos
KUIA kafea;Hostelería
La Casa Comprometida;Asociaciones y Cooperativas
La Catedral de la Cerveza;Hostelería
La Muga;Hostelería
La Viña San Fran;Hostelería
Laket Arropa Denda;Moda y Complementos
Lamia Konjelatuak;Alimentación
